AHS_Control_Number,Age,Area_Med_Income,FMR,Poverty_Income,BEDRMS,BUILT,Market_value,HH_QTY,HH_Income,Monthly_Hsg,Monthly_Utility,Total_Wage,FMTStructureType,FMTOwnRent,FMTAssisted
1.00094E+11,64,64182,1002,15439,3,1990,250000,2,36000,873,356.3333333,0,1 Single Family,1 Owner,.
1.00095E+11,22,64362,751,15470,2,1980,-6,2,6988,685,110,7000,3 5-19 units,2 Renter,0 Not Assisted
1.00101E+11,56,63221,987,15470,3,1985,150000,2,372543,1154,197.5,341943,1 Single Family,1 Owner,.
1.00103E+11,-9,77954,749,-6,0,1990,-6,-6,-6,-6,0,-9,5 50+ units,2 Renter,.
1.00103E+11,43,65014,1130,23401,4,2004,320000,4,164487,1758,181.3333333,159500,1 Single Family,1 Owner,.
1.00103E+11,40,65014,1019,15537,3,2006,300000,2,183087,3804,162.3333333,183000,1 Single Family,1 Owner,.
1.00105E+11,-9,59547,589,-6,1,2005,-6,-6,-6,-6,0,-9,3 5-19 units,2 Renter,.
1.00107E+11,38,63221,1151,15517,4,1980,300000,2,101974,2139,289.1666667,102000,1 Single Family,1 Owner,.
1.00107E+11,28,73200,1421,15452,3,2004,330000,2,7,2546,166.3333333,0,1 Single Family,1 Owner,.
1.00107E+11,32,73200,1050,15470,2,1980,-6,2,40,1140,125.4166667,0,2 2-4 units,2 Renter,0 Not Assisted
1.00107E+11,60,73200,1723,15517,4,2004,240000,2,39248,2103,300,0,1 Single Family,1 Owner,.
1.00107E+11,43,60060,1528,12055,4,2003,150000,1,69987,1198,155.8333333,70000,1 Single Family,1 Owner,.
1.00107E+11,66,63221,1151,11114,4,1985,300000,1,31200,1208,172.6666667,0,1 Single Family,1 Owner,.
1.00107E+11,43,60060,1282,18070,3,2006,-6,3,9987,700,0,400,1 Single Family,2 Renter,0 Not Assisted
1.00108E+11,31,73200,1421,30834,3,2005,-6,6,45000,1286,190.6666667,29557,1 Single Family,2 Renter,0 Not Assisted
1.00108E+11,66,60060,1528,14024,4,2006,330000,2,81300,882,199,0,1 Single Family,1 Owner,.
1.00108E+11,24,60060,769,12005,1,1980,-6,1,27000,668,59,25000,3 5-19 units,2 Renter,0 Not Assisted
1.00108E+11,36,60060,1282,23500,3,2010,-6,4,44135,650,172,25000,3 5-19 units,2 Renter,0 Not Assisted
1.00108E+11,38,73200,1050,15492,2,2008,-6,2,84974,1990,123.5,85000,5 50+ units,2 Renter,0 Not Assisted
1.00114E+11,58,95481,1957,15517,5,2004,700000,2,143574,5189,368.3333333,143600,1 Single Family,1 Owner,.
1.00115E+11,44,70310,1363,27610,5,1985,1200000,5,436222,4455,813.25,122000,1 Single Family,1 Owner,.
1.00118E+11,41,73300,944,15470,1,1985,-6,2,15974,669,163,16000,2 2-4 units,2 Renter,0 Not Assisted
1.00118E+11,40,73300,1570,23428,3,2005,-6,4,36961,1069,260,37000,1 Single Family,2 Renter,1 Assisted
1.00119E+11,57,61917,1257,15452,4,1985,250000,2,191102,1571,354,184000,1 Single Family,1 Owner,.
1.00123E+11,39,61917,1056,49283,3,1990,250000,10,33922,3726,576.0833333,34000,1 Single Family,1 Owner,.
1.00126E+11,54,74316,1693,18574,6,2004,450000,3,122274,2297,175,2300,1 Single Family,1 Owner,.
1.00126E+11,76,74316,1302,13964,3,2006,300000,2,3500,437,100,0,1 Single Family,1 Owner,.
1.00126E+11,25,74316,1302,23428,3,2008,110000,4,28974,1137,232,29000,3 5-19 units,1 Owner,.
1.00126E+11,37,74316,1302,23428,3,2007,130000,4,98487,1059,86,97000,3 5-19 units,1 Owner,.
1.00127E+11,50,85310,1129,15537,2,1985,170000,2,119974,1603,143.3333333,120000,1 Single Family,1 Owner,.
1.00129E+11,60,70724,2077,15452,5,2004,450000,2,369930,4820,362,352943,1 Single Family,1 Owner,.
1.00129E+11,40,89200,892,12005,0,2006,200000,1,85987,1914,54,86000,5 50+ units,1 Owner,.
1.0013E+11,39,67676,1210,23428,2,2008,-6,4,44474,1005,55,44500,5 50+ units,2 Renter,1 Assisted
1.0013E+11,-9,57700,776,-6,2,1980,-6,-6,-6,-6,143,-9,1 Single Family,2 Renter,.
1.00138E+11,39,63200,1070,18574,4,2007,380000,3,230961,3087,415.3333333,231000,1 Single Family,1 Owner,.
1.00139E+11,50,63200,971,15470,3,1985,180000,2,117974,513,163.1666667,118000,1 Single Family,1 Owner,.
1.0014E+11,88,77566,1012,11067,2,2005,-6,1,33232,191,181,0,1 Single Family,2 Renter,0 Not Assisted
1.00141E+11,36,60991,988,15470,3,2004,90000,2,64974,1176,200.5,65000,1 Single Family,1 Owner,.
1.00141E+11,44,61329,1032,24218,3,2006,-6,4,126961,1404,237,127000,3 5-19 units,2 Renter,0 Not Assisted
1.00141E+11,52,61329,1187,15517,5,2004,300000,2,167987,814,397.5,98000,1 Single Family,1 Owner,.
1.00142E+11,35,60060,1282,15946,3,2006,240000,2,70800,1680,146.3333333,60000,1 Single Family,1 Owner,.
1.00143E+11,35,58768,849,23500,3,2006,180000,4,89974,1189,182.6666667,90000,1 Single Family,1 Owner,.
1.00143E+11,41,58768,931,27654,4,1990,190000,5,114974,4083,213,115000,1 Single Family,1 Owner,.
1.00144E+11,71,79659,1725,11057,4,1990,180000,1,23860,298,123,0,1 Single Family,1 Owner,.
1.00144E+11,-9,86300,3100,-6,4,2004,490000,-6,-6,-6,33.33333333,-9,1 Single Family,1 Owner,.
1.00144E+11,31,86300,1833,15492,2,2007,330000,2,94974,1665,109,95000,3 5-19 units,1 Owner,.
1.00144E+11,34,86300,1833,15492,2,2007,300000,2,119974,1332,152,120000,3 5-19 units,1 Owner,.
1.00144E+11,57,86300,1392,12019,1,1980,200000,1,50250,1376,143,50000,3 5-19 units,1 Owner,.
1.00147E+11,35,46720,859,24253,3,1980,-6,4,17159,432,202,17000,1 Single Family,2 Renter,1 Assisted
1.0015E+11,65,73600,1231,11067,3,1985,840000,1,140700,2074,122.3333333,140000,1 Single Family,1 Owner,.
1.0015E+11,36,73600,966,15992,2,1980,190000,2,27000,985,216,0,1 Single Family,1 Owner,.
1.00151E+11,56,73600,1436,28777,4,1980,350000,5,80935,2747,530.4166667,81000,1 Single Family,1 Owner,.
1.00154E+11,58,74900,2301,18050,4,1985,550000,3,314209,2306,189.5,0,1 Single Family,1 Owner,.
1.00158E+11,58,62066,1058,15470,3,2004,100000,2,144974,1270,228,145000,6 Mobile Home,1 Owner,.
1.00158E+11,41,62066,1249,23462,4,2008,-6,4,123374,2168,293,108400,1 Single Family,2 Renter,0 Not Assisted
1.00158E+11,28,62066,1058,18595,3,2007,100000,3,70487,1080,213.6666667,70000,1 Single Family,1 Owner,.
1.00158E+11,62,57492,1101,18050,4,1980,180000,3,184674,408,210.25,182000,1 Single Family,1 Owner,.
1.00163E+11,66,65600,689,11057,1,1985,130000,1,32649,359,7,18789,1 Single Family,1 Owner,.
1.00167E+11,42,65014,1130,23428,4,2005,240000,4,117987,1649,432.1666667,111000,1 Single Family,1 Owner,.
1.00167E+11,93,71200,783,11080,2,2006,-6,1,18048,70,70,0,4 20-49 units,2 Renter,0 Not Assisted
1.00167E+11,29,65014,752,15470,2,2006,-6,2,41987,998,123,41200,3 5-19 units,2 Renter,0 Not Assisted
1.00167E+11,72,65014,1019,13948,3,2004,210000,2,75000,629,254,40000,1 Single Family,1 Owner,.
1.00168E+11,65,71200,1073,13948,3,1985,160000,2,78137,455,248.25,0,1 Single Family,1 Owner,.
1.00168E+11,58,71200,1073,12005,3,1990,140000,1,90200,1125,133.6666667,90000,1 Single Family,1 Owner,.
1.00168E+11,41,63200,1468,27539,4,2003,150000,5,47974,1114,272.1666667,48000,1 Single Family,1 Owner,.
1.00168E+11,84,63200,1200,14007,3,1980,30000,2,77987,216,185.6666667,0,1 Single Family,1 Owner,.
1.00168E+11,41,68625,674,15452,2,1980,-6,2,58000,720,171,50000,3 5-19 units,2 Renter,0 Not Assisted
1.00168E+11,32,63200,1468,15452,4,2004,-6,2,68974,1419,206.5,69000,1 Single Family,2 Renter,0 Not Assisted
1.00168E+11,57,71022,1091,15439,3,1980,180000,2,80007,1212,79,80000,1 Single Family,1 Owner,.
1.00168E+11,65,59156,794,14007,2,1985,260000,2,113987,1009,87,90000,1 Single Family,1 Owner,.
1.00168E+11,32,63200,1200,12019,3,2006,130000,1,60987,1691,188,61000,1 Single Family,1 Owner,.
1.00169E+11,37,63200,1468,12005,4,2007,300000,1,119200,2456,268,117000,3 5-19 units,1 Owner,.
1.00169E+11,39,63200,1200,18612,3,1980,-6,3,23987,1185,285,24000,1 Single Family,2 Renter,0 Not Assisted
1.00169E+11,56,60060,1528,23462,4,2006,230000,4,350235,1877,239,24000,1 Single Family,1 Owner,.
1.00169E+11,30,63200,1200,18670,3,2007,80000,3,-13,362,187,0,1 Single Family,1 Owner,.
1.00169E+11,37,69500,1430,23428,3,2004,-6,4,34369,2774,273.75,28382,1 Single Family,2 Renter,0 Not Assisted
1.00169E+11,73,71807,1891,18070,4,2004,200000,3,76267,1435,393.0833333,60000,1 Single Family,1 Owner,.
1.00169E+11,40,68658,1641,28229,5,2005,350000,5,55071,1930,405,55000,1 Single Family,1 Owner,.
1.00169E+11,53,71807,1584,15470,3,2007,-6,2,96037,1464,64,71500,1 Single Family,2 Renter,0 Not Assisted
1.0017E+11,22,71807,1075,15517,2,1985,-6,2,37174,1148,87,37200,3 5-19 units,2 Renter,0 Not Assisted
1.00173E+11,53,56368,962,15470,3,1980,-6,2,41974,310,243.0833333,42000,1 Single Family,2 Renter,0 Not Assisted
1.00173E+11,70,61329,1032,11080,3,2006,690000,1,5620,1359,208.6666667,0,1 Single Family,1 Owner,.
1.00173E+11,30,56368,962,23462,3,2006,-6,4,64974,1141,149.6666667,65000,4 20-49 units,2 Renter,0 Not Assisted
1.00173E+11,56,62066,657,12055,1,2003,-6,1,29987,143,82.75,30000,3 5-19 units,2 Renter,0 Not Assisted
1.00174E+11,56,56368,1059,18097,4,1985,250000,3,154474,399,151,109000,1 Single Family,1 Owner,.
1.00176E+11,49,77954,1573,24292,4,2003,250000,4,205971,1410,292.8333333,206010,1 Single Family,1 Owner,.
1.00176E+11,49,77954,1573,24190,4,2007,440000,4,364817,2691,362.1666667,354943,1 Single Family,1 Owner,.
1.0018E+11,44,55846,949,15439,3,2006,150000,2,20887,241,136,0,1 Single Family,1 Owner,.
1.00181E+11,32,52322,773,15452,2,1980,-6,2,506930,709,88,481943,2 2-4 units,2 Renter,0 Not Assisted
1.00181E+11,41,52322,1259,28261,4,2006,850000,5,88064,2330,319.75,88000,1 Single Family,1 Owner,.
1.00181E+11,60,52322,1259,18595,4,2007,-6,3,25987,1175,175,9000,1 Single Family,2 Renter,0 Not Assisted
1.00181E+11,76,52322,1115,13948,3,1985,120000,2,32520,399,241.5,0,1 Single Family,1 Owner,.
1.00182E+11,93,52322,1259,28204,4,1990,-6,5,17600,1441,341.25,0,1 Single Family,2 Renter,0 Not Assisted
1.00182E+11,63,58768,849,15452,3,2003,260000,2,79050,477,227.0833333,70000,1 Single Family,1 Owner,.
1.00182E+11,57,58768,849,12005,3,1985,150000,1,74987,1346,101.3333333,75000,2 2-4 units,1 Owner,.
1.00188E+11,82,80500,1316,11067,2,1985,-6,1,9600,561,147,0,4 20-49 units,2 Renter,0 Not Assisted
1.00188E+11,68,80500,1639,13984,3,1985,430000,2,102440,1012,420.3333333,35000,1 Single Family,1 Owner,.
1.00195E+11,61,61917,1056,15537,3,1985,250000,2,33174,1021,354.3333333,33200,1 Single Family,1 Owner,.
1.00196E+11,52,61292,951,15452,3,2004,220000,2,48310,798,173.0833333,26710,1 Single Family,1 Owner,.
1.00196E+11,88,60104,736,11080,2,1985,100000,1,21000,448,96,0,1 Single Family,1 Owner,.
1.00196E+11,38,62258,729,12019,2,2008,120000,1,44987,755,82.83333333,45000,1 Single Family,1 Owner,.
1.00197E+11,23,56800,730,12005,1,1985,-6,1,31987,791,60,32000,4 20-49 units,2 Renter,0 Not Assisted
1.00202E+11,31,57100,921,18670,3,2003,-6,3,22005,741,121,22000,1 Single Family,2 Renter,0 Not Assisted
1.00202E+11,49,62258,1082,24218,4,2007,-6,4,110174,676,245,105000,1 Single Family,2 Renter,0 Not Assisted
1.00203E+11,42,66500,669,18670,2,1980,-6,3,39700,699,124,32000,5 50+ units,2 Renter,0 Not Assisted
1.00204E+11,45,64400,1013,18574,3,2007,-6,3,52974,820,189.6666667,53000,1 Single Family,2 Renter,0 Not Assisted
1.00205E+11,44,61292,1073,27610,4,1985,440000,5,141167,1982,277.6666667,140000,1 Single Family,1 Owner,.
1.00205E+11,74,77566,1012,11080,2,1990,170000,1,28000,682,167,0,3 5-19 units,1 Owner,.
1.00206E+11,71,89100,1550,11114,3,2005,-6,1,15800,519,242,8000,2 2-4 units,2 Renter,0 Not Assisted
1.00206E+11,46,86324,1335,18652,2,2001,330000,3,224974,3052,222,225000,1 Single Family,1 Owner,.
1.00207E+11,62,89526,1623,12071,3,2006,-6,1,44987,1730,130,45000,2 2-4 units,2 Renter,0 Not Assisted
1.00207E+11,31,50723,907,23428,3,1980,-6,4,27961,875,375.25,28000,2 2-4 units,2 Renter,0 Not Assisted
1.00207E+11,31,50723,907,18574,3,2003,110000,3,82387,304,164.3333333,82000,1 Single Family,1 Owner,.
1.00211E+11,64,50723,907,15452,3,1980,190000,2,156379,546,387.1666667,150000,1 Single Family,1 Owner,.
1.00216E+11,77,56613,1164,11080,3,1985,50000,1,35294,544,154.6666667,0,1 Single Family,1 Owner,.
1.00216E+11,58,60060,1282,12019,3,2004,-6,1,24900,1389,168,24000,1 Single Family,2 Renter,0 Not Assisted
1.00216E+11,42,60060,1282,12019,3,2006,50000,1,47000,283,192.6666667,43000,1 Single Family,1 Owner,.
1.00218E+11,26,62900,1129,27539,3,1980,-6,5,14987,972,172,0,1 Single Family,2 Renter,0 Not Assisted
1.00219E+11,-9,62900,780,-6,2,1980,-6,-6,-6,-6,39,-9,3 5-19 units,2 Renter,.
1.0022E+11,55,64600,1183,15905,2,1980,130000,2,39987,753,151.3333333,40000,4 20-49 units,1 Owner,.
1.00223E+11,41,63429,566,12005,1,1985,-6,1,7400,293,131,0,3 5-19 units,2 Renter,1 Assisted
1.00223E+11,72,63429,566,14007,1,1985,-6,2,15011,617,100,0,3 5-19 units,2 Renter,0 Not Assisted
1.00224E+11,68,77566,1277,11080,3,2008,330000,1,39000,842,144,25000,2 2-4 units,1 Owner,.
1.00225E+11,-9,55926,1025,-6,3,2005,-6,-6,-6,-6,273,-9,1 Single Family,2 Renter,.
1.00225E+11,-9,55926,767,-6,2,2007,-6,-6,-6,-6,0,-9,4 20-49 units,2 Renter,.
1.00225E+11,-9,55926,1025,-6,3,2008,-6,-6,-6,-6,0,-9,1 Single Family,2 Renter,.
1.00229E+11,60,71200,783,15452,2,1980,-6,2,2000,868,76,0,4 20-49 units,2 Renter,0 Not Assisted
1.00229E+11,82,71200,1073,11067,3,1980,150000,1,44352,1460,287,0,1 Single Family,1 Owner,.
1.0023E+11,30,71200,632,12019,1,1985,-6,1,39987,774,123,40000,2 2-4 units,2 Renter,0 Not Assisted
1.00232E+11,50,73738,956,15452,2,1985,-6,2,32633,1111,132,31000,3 5-19 units,2 Renter,0 Not Assisted
1.00232E+11,70,58000,727,13964,2,1950,1,2,8487,127,127.1666667,0,6 Mobile Home,1 Owner,.
1.00236E+11,19,58019,649,12019,2,1985,-6,1,32987,409,84,33000,3 5-19 units,2 Renter,1 Assisted
1.00238E+11,69,77566,1277,11067,3,2006,430000,1,60512,1467,202,12000,1 Single Family,1 Owner,.
1.00238E+11,43,77566,1435,23401,4,2009,590000,4,169974,2474,381.8333333,170000,1 Single Family,1 Owner,.
1.00239E+11,43,79659,976,23401,2,2005,470000,4,161876,3846,121,60000,1 Single Family,1 Owner,.
1.0024E+11,26,79659,1438,15452,3,1980,180000,2,49756,1845,261.6666667,48000,1 Single Family,1 Owner,.
1.0024E+11,43,79659,976,12005,2,1980,-6,1,34987,1204,40,35000,3 5-19 units,2 Renter,0 Not Assisted
1.0024E+11,59,56613,1349,18097,4,1980,2520000,3,314209,3022,430.3333333,0,1 Single Family,1 Owner,.
1.00243E+11,29,62100,1041,18070,3,1980,-6,3,69974,1036,161,64000,1 Single Family,2 Renter,0 Not Assisted
1.00243E+11,39,62066,1249,18574,4,2005,220000,3,112974,2073,543,113000,1 Single Family,1 Owner,.
1.00243E+11,55,62066,792,18070,2,2007,-6,3,74961,1138,138,75000,1 Single Family,2 Renter,0 Not Assisted
1.00244E+11,54,57100,1160,18050,4,1980,280000,3,84974,1909,815.4166667,55000,1 Single Family,1 Owner,.
1.00246E+11,59,62258,1082,18070,4,1985,250000,3,197150,845,287.4166667,95600,1 Single Family,1 Owner,.
1.00246E+11,59,73738,1336,38267,4,2008,250000,7,76948,532,98.66666667,61000,1 Single Family,1 Owner,.
1.00246E+11,29,73738,1336,30913,4,2008,-6,6,59974,168,107,60000,1 Single Family,2 Renter,0 Not Assisted
1.00247E+11,61,77566,1469,15537,5,1980,100000,2,40987,523,306.3333333,40000,1 Single Family,1 Owner,.
1.00247E+11,68,73738,1204,18097,3,1985,180000,3,54308,1481,218.8333333,1300,1 Single Family,1 Owner,.
1.00247E+11,53,63800,1116,15470,4,2003,600000,2,441930,3725,307,341943,1 Single Family,1 Owner,.
1.00247E+11,82,63800,997,11067,3,2005,210000,1,19284,399,146.5,0,1 Single Family,1 Owner,.
1.00247E+11,32,63800,997,15470,3,2009,160000,2,117974,1407,165,118000,1 Single Family,1 Owner,.
1.00248E+11,62,63800,535,12019,1,1985,-6,1,37987,90,72,38000,3 5-19 units,2 Renter,0 Not Assisted
1.00248E+11,-9,63800,700,-6,2,1980,-6,-6,-6,-6,76.75,-9,2 2-4 units,2 Renter,.
1.0025E+11,50,49074,873,24218,3,2008,-6,4,13159,554,178.75,13000,1 Single Family,2 Renter,0 Not Assisted
1.00251E+11,53,73559,1467,18050,4,1980,560000,3,106730,2107,308.9166667,66667,1 Single Family,1 Owner,.
1.00253E+11,28,66000,1060,15452,3,2006,120000,2,80793,1172,214,74934,1 Single Family,1 Owner,.
1.00257E+11,-9,107300,1191,-6,1,2009,-6,-6,-6,-6,123.5,-9,5 50+ units,2 Renter,.
1.0026E+11,-9,64600,1149,-6,4,1980,460000,-6,-6,-6,135.9166667,-9,1 Single Family,1 Owner,.
1.00261E+11,29,63068,1827,31807,4,2003,80000,6,32241,808,577.0833333,30000,1 Single Family,1 Owner,.
1.00261E+11,49,62200,1592,31889,4,2003,-6,6,62961,1337,347.8333333,57000,1 Single Family,2 Renter,0 Not Assisted
1.00262E+11,26,62200,748,15492,1,2005,-6,2,63974,749,9,64000,3 5-19 units,2 Renter,0 Not Assisted
1.00262E+11,35,62200,1592,30806,4,2005,150000,6,57974,1195,312.8333333,58000,1 Single Family,1 Owner,.
1.00262E+11,62,62200,1592,15452,4,2005,370000,2,59200,1299,111.8333333,0,1 Single Family,1 Owner,.
1.00262E+11,40,64165,1948,18595,4,2005,200000,3,174987,392,180.8333333,158291,1 Single Family,1 Owner,.
1.00262E+11,33,64165,1948,23428,4,2005,-6,4,71974,1391,414.8333333,72000,1 Single Family,2 Renter,0 Not Assisted
1.00262E+11,41,63068,1827,23381,4,2005,390000,4,142961,1747,263.5,143000,1 Single Family,1 Owner,.
